sample	sex	age	cd3tcells	bcells	nkcells	cd20hladrpos	cd8tregs	cd4tcells	cd8tcells	tregs	cd16pos	cd14cd16pos	cd14pos	cd16hladrpos	cd14cd16hladrpos	cd14hladrpos
0A9	f	14.67	28.8	34.4	36.8	30.7	0.68	17.4	8.43	3.84	11	40.4	48.7	26.7	50.4	22.9
0C7	m	13.83	69.7	17.3	13.1	16.1	2.25	33.9	30.5	9.88	18.7	33.5	47.8	10.8	14.9	74.3
0J4	m	9.92	59.1	28.2	12.7	26.2	1.44	26	18.8	5.84	5.48	4.84	89.7	7.49	6.03	86.5
0L1	m	8.92	47.1	48.5	4.41	45.2	0.72	36.5	7.19	5.13	26.3	9.84	63.9	17	2.64	80.3
0P0	m	6.92	21.7	45.8	32.6	38	0.4	11.8	8.45	2.9	27.7	36.8	35.5	17.4	60.2	22.3
0R8	m	6.08	40.8	32.4	26.7	29.3	1.47	23	14.6	3.65	24.9	45	30	27.7	52.9	19.4
0S5 INF	m	0.5	71	21.8	7.29	20.5	0.71	42.8	20.4	3.44	20.2	3.65	76.2	5.63	3.76	90.6
0S5	f	6.08	69.7	18.4	12	17.6	1.12	22.7	39.9	2.69	29.9	25.6	44.5	30.9	17.2	51.9
1A3	f	14.75	47.7	30.9	21.4	23.7	2.16	27.8	16.2	4.57	16.8	33.1	50.1	37.4	47.2	15.4
1B0	f	14.75	51.9	33.9	14.2	32.3	2.14	27.4	20	4.27	10.8	6.08	83.2	13.9	7.11	79
1G0	f	10.83	53.4	41.1	5.43	40.4	1.09	30.7	19.8	5.76	6.52	2.71	90.8	14.6	6.3	79.1
1H6	f	10.67	74.5	23.4	2.13	18.1	2.46	43.5	23.2	5.74	4.27	6.62	89.1	4.19	12.3	83.5
1I6	f	9.75	52.3	33.5	14.2	27.5	1.07	20.4	27.7	3.2	9.46	7.12	83.4	59.5	9.64	30.9
1J0	m	9.75	53	37.1	9.91	35.3	1.01	30	18.4	4.08	7.01	10	83	8.72	20.6	70.7
1L5	f	8.83	61.6	37.2	1.23	21.4	1.3	32.6	22.7	2.53	3.9	5.62	90.5	6.17	11.5	82.3
1S4	m	5.92	48.5	32.2	19.3	28.9	1.58	30.1	13.6	4.47	50.9	6.79	42.4	22.1	11.8	66.1
2A2 INF	f	0.25	65.5	33.5	0.92	32.1	0.42	48.6	13.3	4.59	1.97	2.02	96	2.26	1.13	96.6
2A2 	f	14.75	74.3	11.9	13.9	9.54	1.88	47.4	22	6.05	11.2	7.32	81.5	20.1	19.9	60
2C9	m	13.83	51.1	19.7	29.2	17.3	1.5	23.2	15.7	4.73	9.61	25.7	64.7	31.3	66.1	2.61
2.00E+04	f	12.83	63.6	33.8	2.59	32.7	1.24	40.1	16.8	5.59	3.55	2.02	94.4	4.57	3.05	92.4
2I2	m	9.83	64.1	28	7.93	27.3	1.3	30.5	27.6	4.71	10.6	17	72.4	19.5	18.9	61.5
2N6 INF	m	0.5	74.8	21.8	3.38	21.1	0.58	56.4	13.8	3.8	6.35	7.68	86	3.11	11.7	85.2
2N6 	f	7.92	47.9	47	5.1	36.5	0.96	28.3	15.4	4.08	5.22	5.59	89.2	6.79	11.8	81.4
2N8	m	7.92	52.6	39.1	8.35	37	1.41	31.4	16.9	5.11	27.4	22.2	50.4	4.97	4.05	91
2N9	m	8	54.9	30.4	14.7	29.4	1.19	24.2	17.1	5.03	25.2	6.34	68.5	25.7	12.1	62.2
2R1	m	5.92	57.8	31.9	10.3	29.5	2.68	26.9	22.3	6.74	9.33	3.97	86.7	12.6	5.06	82.3
3L2	m	8.92	75.6	18.5	5.96	12.4	1.22	34.1	36.7	5.29	4.14	5.75	90.1	14.1	11	74.9
3M2	m	8	69.2	21.6	9.18	21.1	2.71	34.6	26.1	3.38	17.3	22.4	60.3	20.7	22.3	57
3P3	m	6.92	43.4	31.9	24.7	26.1	1.6	22.6	15.1	3.69	30.3	14.1	55.6	22.6	15	62.5
3S3	f	5.83	62.6	29.2	8.29	27	1.98	41	15.7	11.8	25.7	4.17	70.2	27.1	9.39	63.5
4G8	m	10.83	59.6	28	12.4	26.9	2.32	36.6	19.6	7.11	8.05	2	90	10.3	4.43	85.2
4K7	m	8.83	47.1	37.6	15.3	33	2.49	31.9	11.3	7.96	11.4	1.89	86.7	25.9	6.35	67.8
4M3	m	8	44.2	34.6	22.3	25.3	2.46	29.3	9.54	4.41	3.98	3.86	92.2	1.35	1.73	96.9
