trapid	cayoid	age	sex	PC1	PC2
T19057	04N	19.42	f	2.301413576	-0.43056057
T19057	04N	19.42	f	2.301413576	-0.43056057
T19057	04N	19.42	f	2.301413576	-0.43056057
T19057	04N	19.42	f	2.301413576	-0.43056057
T19022	04Z	15.5	m	-2.176997432	4.228139184
T19022	04Z	15.5	m	-2.176997432	4.228139184
T19022	04Z	15.5	m	-2.176997432	4.228139184
T19022	04Z	15.5	m	-2.176997432	4.228139184
T19065	0A9	14.67	f	-3.278717487	4.333352739
T19065	0A9	14.67	f	-3.278717487	4.333352739
T19065	0A9	14.67	f	-3.278717487	4.333352739
T19065	0A9	14.67	f	-3.278717487	4.333352739
T19021	0C7	13.83	m	3.058995851	0.329429634
T19021	0C7	13.83	m	3.058995851	0.329429634
T19021	0C7	13.83	m	3.058995851	0.329429634
T19021	0C7	13.83	m	3.058995851	0.329429634
T19089	0J4	9.92	m	0.520874349	-0.003229819
T19089	0J4	9.92	m	0.520874349	-0.003229819
T19089	0J4	9.92	m	0.520874349	-0.003229819
T19019	0L1	8.92	m	-2.623000322	-1.344244322
T19019	0L1	8.92	m	-2.623000322	-1.344244322
T19019	0L1	8.92	m	-2.623000322	-1.344244322
T19019	0L1	8.92	m	-2.623000322	-1.344244322
T19017	0P0	6.92	m	-4.970196568	4.157571172
T19017	0P0	6.92	m	-4.970196568	4.157571172
T19017	0P0	6.92	m	-4.970196568	4.157571172
T19017	0P0	6.92	m	-4.970196568	4.157571172
T19006	0R8	6.08	m	-1.429705544	3.907482263
T19006	0R8	6.08	m	-1.429705544	3.907482263
T19006	0R8	6.08	m	-1.429705544	3.907482263
T19006	0R8	6.08	m	-1.429705544	3.907482263
T19087	0S5	6.08	f	2.053094629	2.308645854
T19087	0S5	6.08	f	2.053094629	2.308645854
T19087	0S5	6.08	f	2.053094629	2.308645854
T19087	0S5	6.08	f	2.053094629	2.308645854
T19047	12Z	15.67	m	-0.52596079	-0.465082912
T19047	12Z	15.67	m	-0.52596079	-0.465082912
T19047	12Z	15.67	m	-0.52596079	-0.465082912
T19047	12Z	15.67	m	-0.52596079	-0.465082912
T19015	17K	20.75	m	0.168397065	3.328439282
T19015	17K	20.75	m	0.168397065	3.328439282
T19015	17K	20.75	m	0.168397065	3.328439282
T19015	17K	20.75	m	0.168397065	3.328439282
T19039	1A3	14.75	f	-0.402303558	3.582295935
T19039	1A3	14.75	f	-0.402303558	3.582295935
T19039	1A3	14.75	f	-0.402303558	3.582295935
T19039	1A3	14.75	f	-0.402303558	3.582295935
T19086	1B0	14.75	f	0.055015142	0.308479393
T19086	1B0	14.75	f	0.055015142	0.308479393
T19086	1B0	14.75	f	0.055015142	0.308479393
T19086	1B0	14.75	f	0.055015142	0.308479393
T19068	1G0	10.83	f	-0.340865241	-0.373015147
T19068	1G0	10.83	f	-0.340865241	-0.373015147
T19042	1H6	10.67	f	2.514461681	-1.088203492
T19042	1H6	10.67	f	2.514461681	-1.088203492
T19042	1H6	10.67	f	2.514461681	-1.088203492
T19042	1H6	10.67	f	2.514461681	-1.088203492
T19020	1J0	9.75	m	-0.520274566	0.389682556
T19020	1J0	9.75	m	-0.520274566	0.389682556
T19020	1J0	9.75	m	-0.520274566	0.389682556
T19020	1J0	9.75	m	-0.520274566	0.389682556
T19044	1L5	8.83	f	0.276575256	-0.583581576
T19044	1L5	8.83	f	0.276575256	-0.583581576
T19044	1L5	8.83	f	0.276575256	-0.583581576
T19044	1L5	8.83	f	0.276575256	-0.583581576
T19070	1S4	5.92	m	-0.707295835	0.996788805
T19070	1S4	5.92	m	-0.707295835	0.996788805
T19070	1S4	5.92	m	-0.707295835	0.996788805
T19070	1S4	5.92	m	-0.707295835	0.996788805
T19027	28G	22.58	f	1.03554659	-0.755191499
T19027	28G	22.58	f	1.03554659	-0.755191499
T19027	28G	22.58	f	1.03554659	-0.755191499
T19027	28G	22.58	f	1.03554659	-0.755191499
T19030	28J	21.42	f	0.227762368	4.059546962
T19030	28J	21.42	f	0.227762368	4.059546962
T19030	28J	21.42	f	0.227762368	4.059546962
T19030	28J	21.42	f	0.227762368	4.059546962
T19058	2A2	14.75	f	2.729547071	0.679787852
T19058	2A2	14.75	f	2.729547071	0.679787852
T19058	2A2	14.75	f	2.729547071	0.679787852
T19058	2A2	14.75	f	2.729547071	0.679787852
T19064	2C9	13.83	m	-0.067921277	4.994631819
T19064	2C9	13.83	m	-0.067921277	4.994631819
T19064	2C9	13.83	m	-0.067921277	4.994631819
T19064	2C9	13.83	m	-0.067921277	4.994631819
T19004	2I2	9.83	m	1.216010118	0.939521444
T19004	2I2	9.83	m	1.216010118	0.939521444
T19004	2I2	9.83	m	1.216010118	0.939521444
T19004	2I2	9.83	m	1.216010118	0.939521444
T19059	2N6	7.92	f	-1.526523894	-0.519247437
T19059	2N6	7.92	f	-1.526523894	-0.519247437
T19062	2N8	7.92	m	-0.428248816	-0.843949764
T19062	2N8	7.92	m	-0.428248816	-0.843949764
T19062	2N8	7.92	m	-0.428248816	-0.843949764
T19062	2N8	7.92	m	-0.428248816	-0.843949764
T19033	2N9	8	m	-0.164718694	1.323816997
T19033	2N9	8	m	-0.164718694	1.323816997
T19033	2N9	8	m	-0.164718694	1.323816997
T19033	2N9	8	m	-0.164718694	1.323816997
T19009	2R1	5.92	m	1.05835649	-0.135947336
T19009	2R1	5.92	m	1.05835649	-0.135947336
T19009	2R1	5.92	m	1.05835649	-0.135947336
T19009	2R1	5.92	m	1.05835649	-0.135947336
T19046	3L2	8.92	m	2.821004633	0.303252372
T19046	3L2	8.92	m	2.821004633	0.303252372
T19046	3L2	8.92	m	2.821004633	0.303252372
T19046	3L2	8.92	m	2.821004633	0.303252372
T19003	3M2	8	m	2.103449018	1.049247985
T19003	3M2	8	m	2.103449018	1.049247985
T19003	3M2	8	m	2.103449018	1.049247985
T19003	3M2	8	m	2.103449018	1.049247985
T19011	3P3	6.92	m	-1.068539139	1.848757965
T19011	3P3	6.92	m	-1.068539139	1.848757965
T19011	3P3	6.92	m	-1.068539139	1.848757965
T19011	3P3	6.92	m	-1.068539139	1.848757965
T19008	3S3	5.83	f	1.444082976	-0.205419341
T19008	3S3	5.83	f	1.444082976	-0.205419341
T19008	3S3	5.83	f	1.444082976	-0.205419341
T19008	3S3	5.83	f	1.444082976	-0.205419341
T19024	43V	15.67	m	0.689972157	4.359011452
T19024	43V	15.67	m	0.689972157	4.359011452
T19024	43V	15.67	m	0.689972157	4.359011452
T19024	43V	15.67	m	0.689972157	4.359011452
T19067	4G8	10.83	m	1.255315015	-0.520905867
T19067	4G8	10.83	m	1.255315015	-0.520905867
T19067	4G8	10.83	m	1.255315015	-0.520905867
T19067	4G8	10.83	m	1.255315015	-0.520905867
T19063	4K7	8.83	m	-0.571571944	0.196474369
